"ItemCode","ItemName","NumInBuy","SWW","OnHand","WhsCode"
"01011012600206010750",VINO ARG. LUCA NICO BY LUCA MALBEC,3.000000,,6.000000,"01"
"01011013300105010750",VINO ARG. EL ENEMIGO CHARDONNAY,12.000000,,266.000000,"01"
"01011013300106010750",VINO ARG. EL ENEMIGO MALBEC,12.000000,,515.000000,"01"
"01011013300126010750",VINO ARG. EL ENEMIGO CAB. FRANC,12.000000,,370.000000,"01"
"01011013300126011500",VINO ARG. EL ENEMIGO CAB. FRANC 1500cc,1.000000,,69.000000,"01"
"01011013300217010750",VINO ARG. EL GRAN ENEMIGO BLEND,6.000000,,312.000000,"01"
"01011013300217020750",VINO ARG. EL GRAN ENEMIGO S/V GUALTALLARY,6.000000,,4.000000,"01"
"01011013300330010750",VINO ARG. EL ENEMIGO BONARDA,12.000000,,396.000000,"01"
"01011104680103010750",VINO EU WOODBRIDGE CAB. SAUV.,12.000000,,909.000000,"01"
"01011104680105010750",VINO EU WOODBRIDGE CHARDONNAY,12.000000,,16.000000,"01"
"01011104680107010750",VINO EU WOODBRIDGE MERLOT,12.000000,,1696.000000,"01"
"01011104680223010750",VINO EU MEIOMI PINOT NOIR,12.000000,,96.000000,"01"
"01011104680303010750",VINO EU R. MONDAVI P.S. CAB. SAUV. BOURBON,12.000000,,92.000000,"01"
"01011104680303020750",VINO EU ROBERT MONDAVI CAB. SAUV. NAPA VALLEY,12.000000,,24.000000,"01"
"01011104680321010750",VINO EU R. MONDAVI P.S. HERITAGE RED BLEND,12.000000,,302.000000,"01"
"01012023380128010750",VINO ALE. LIEBFRAUMILCH PETER MERTES,12.000000,,5196.000000,"01"
"01012093230101011000",VINO ESP. PEÑASOL SANGRIA TETRA PACK,6.000000,,2538.000000,"01"
"01011012600106010750",VINO ARG. LUCA MALBEC,12.000000,,542.000000,"01"
"01011012600109010750",VINO ARG. LUCA SYRAH LABORDE DOUBLE SELECT,12.000000,,134.000000,"01"
"01011012600110020750",VINO ARG. LUCA PINOT NOIR GLOT CAJA6,6.000000,,372.000000,"01"
"01011012600117010750",VINO ARG. LUCA BESO DE DANTE CAB. SAUV./MALBEC,6.000000,,78.000000,"01"
"01012093230101021500",VINO ESP. PEÑASOL SANGRIA PET 1500ml,6.000000,,5544.000000,"01"
