"id_one_label","code_label","notas","response","message","sign","message_status","validated_date","activated_date","signed_date","bg_status","id_user","date_created","last_updated","cod_contable_id"
1050,"002C2E26",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.457715000","2022-09-27 16:27:52.850609000","02012130020202010750"
1051,"002BVKT0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.459877000","2022-09-27 16:27:53.519692000","02012130020202010750"
1052,"002BUTK5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.462127000","2022-09-27 16:27:54.191920000","02012130020202010750"
1053,"002BWC27",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.464714000","2022-09-27 16:27:54.860685000","02012130020202010750"
1054,"002BX3B1",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.467439000","2022-09-27 16:27:55.620346000","02012130020202010750"
1055,"002C0VK4",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.469623000","2022-09-27 16:27:56.287173000","02012130020202010750"
1056,"002C1MT9",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.471641000","2022-09-27 16:27:56.955970000","02012130020202010750"
1057,"002C04B4",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.473772000","2022-09-27 16:28:22.101907000","02012130020202010750"
1058,"002BZD23",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.476019000","2022-09-27 16:28:22.895411000","02012130020202010750"
1059,"002BYLT6",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.478271000","2022-09-27 16:28:23.557800000","02012130020202010750"
